Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
-4,110,719,718,771,783,816,608,822,0.00%,1.54729,2.19,1.27
00_Home,110,719,718,771,783,816,608,822,0.00%,1.54729,2.19,1.27
-8,110,180,180,194,196,206,152,208,0.00%,1.56144,7.1,1.44
01_Sign_Page,110,180,180,194,196,206,152,208,0.00%,1.56117,7.1,1.44
-12,110,358,357,383,387,409,302,412,0.00%,1.55743,8.17,3.7
-13,110,177,178,191,193,201,150,203,0.00%,1.56141,2.21,1.49
02_Submit_Login,110,536,535,574,580,610,453,615,0.00%,1.55334,10.35,5.17
-17,109,178,178,191,197,201,151,203,0.00%,1.54698,2.19,1.5
03_Click_On_Category,109,178,178,191,197,201,151,203,0.00%,1.54696,2.19,1.5
-21,109,178,178,192,195,202,150,203,0.00%,1.54706,2.19,1.55
04_Click_On_Product,109,178,178,192,195,202,150,203,0.00%,1.54706,2.19,1.55
-25,109,182,182,196,198,205,155,210,0.00%,1.54706,7.27,1.59
05_Clcik_On_AddToCart,109,182,182,196,198,205,155,210,0.00%,1.54706,7.27,1.59
MOCK_OAUTH_LOGIN,5,14,1,1,69,69,0,69,0.00%,0.62508,0.09,0
-29,109,180,181,194,197,202,152,208,0.00%,1.5472,8.37,1.56
06_Click_On_CheckOut,109,180,181,194,197,202,152,208,0.00%,1.54717,8.37,1.56
-33,107,181,181,195,198,204,153,208,0.00%,1.51889,6.9,2.33
07_Click_On_Continue,107,181,181,195,198,204,153,208,0.00%,1.51889,6.9,2.33
-37,107,183,183,196,200,208,156,212,0.00%,1.51896,7.93,1.91
08_Click_On_Confirm,107,183,183,196,200,208,156,212,0.00%,1.51896,7.93,1.91
-44,107,357,357,383,392,405,303,409,0.00%,1.51524,7.81,3
-46,106,177,178,191,194,201,150,203,0.00%,1.53239,2.17,1.48
09_Click_SignOut,106,535,534,574,586,606,453,612,0.00%,1.52461,10.02,4.48
01_HOME,35,716,715,755,757,793,619,793,0.00%,0.54327,0.77,0.5
TS01_HOME,37,677,711,755,757,793,0,793,0.00%,0.55037,0.74,0.48
02_VIEW_CATEGORY,35,180,179,193,193,198,157,198,0.00%,0.54799,2.43,0.57
TS02_VIEW_CATEGORY,35,180,179,193,193,198,157,198,0.00%,0.53125,2.36,0.55
03_VIEW_PRODUCT,35,180,180,191,193,199,156,199,0.00%,0.54815,2.2,0.61
TS03_VIEW_PRODUCT,35,180,180,191,193,199,156,199,0.00%,0.5315,2.14,0.59
04_VIEW_ITEM,33,180,180,191,191,200,163,200,0.00%,0.55103,2.05,0.61
TS04_VIEW_ITEM,35,170,179,191,191,200,0,200,0.00%,0.54969,1.93,0.58
TOTAL,2674,281,184,665,720,767,0,822,0.00%,36.52556,136.95,47.79
