Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
UTG - Buyers Flow:-4,1130,734,720,773,790,822,601,3785,0.000%,7.11269,10.09,5.85
UTG - Buyers Flow:00_Home,1130,734,720,773,790,822,601,3785,0.000%,7.11255,10.09,5.85
UTG - Buyers Flow:-8,1125,181,181,194,198,204,151,262,0.000%,7.21774,32.80,6.67
UTG - Buyers Flow:01_Sign_Page,1125,181,181,194,198,204,151,262,0.000%,7.21774,32.80,6.67
UTG - Buyers Flow:-12,1123,360,360,386,394,408,299,987,0.000%,7.19696,37.76,17.13
UTG - Buyers Flow:-13,1122,179,178,192,196,203,149,487,0.000%,7.19881,10.21,6.87
UTG - Buyers Flow:02_Submit_Login,1122,540,538,577,589,614,449,1172,0.000%,7.18255,47.86,23.95
UTG - Buyers Flow:-17,1122,178,178,192,195,204,147,268,0.000%,7.19895,10.21,7.00
UTG - Buyers Flow:03_Click_On_Category,1122,178,178,192,195,204,147,268,0.000%,7.19891,10.21,7.00
UTG - Buyers Flow:-21,1120,179,178,192,196,203,150,262,0.000%,7.18630,10.19,7.22
UTG - Buyers Flow:04_Click_On_Product,1120,179,178,192,196,203,150,262,0.000%,7.18626,10.19,7.22
UTG - Browsing Flow:MOCK_OAUTH_LOGIN,25,2,1,2,6,38,0,38,0.000%,.86800,0.12,0.00
UTG - Buyers Flow:-25,1117,183,183,196,199,208,152,267,0.000%,7.16701,33.67,7.36
UTG - Buyers Flow:05_Clcik_On_AddToCart,1117,183,183,196,199,208,152,267,0.000%,7.16701,33.67,7.36
UTG - Buyers Flow:-29,1114,181,182,194,198,205,152,218,0.000%,7.14790,38.67,7.20
UTG - Buyers Flow:06_Click_On_CheckOut,1114,181,182,194,198,205,152,218,0.000%,7.14790,38.67,7.20
UTG - Buyers Flow:-33,1113,182,182,195,198,206,151,306,0.000%,7.14167,32.46,10.96
UTG - Buyers Flow:07_Click_On_Continue,1113,182,182,195,198,206,151,306,0.000%,7.14167,32.46,10.96
UTG - Buyers Flow:-37,1113,185,185,198,201,209,154,244,0.000%,7.14167,37.28,8.97
UTG - Buyers Flow:08_Click_On_Confirm,1113,185,185,198,201,209,154,244,0.000%,7.14167,37.28,8.97
UTG - Buyers Flow:-44,1111,359,359,386,392,404,300,435,0.000%,7.12120,36.70,14.11
UTG - Buyers Flow:-46,1106,178,178,191,195,203,149,241,0.000%,7.12725,10.11,6.88
UTG - Buyers Flow:09_Click_SignOut,1106,538,537,577,588,605,450,638,0.000%,7.11103,46.74,20.95
UTG - Browsing Flow:01_HOME,376,722,719,771,789,816,614,828,0.000%,2.46646,3.50,2.26
UTG - Browsing Flow:TS01_HOME,376,722,719,771,789,816,614,828,0.000%,2.43405,3.45,2.23
UTG - Browsing Flow:02_VIEW_CATEGORY,370,181,181,194,198,206,153,239,0.000%,2.46721,10.93,2.56
UTG - Browsing Flow:TS02_VIEW_CATEGORY,370,181,181,194,198,206,153,239,0.000%,2.43471,10.79,2.53
UTG - Browsing Flow:03_VIEW_PRODUCT,364,182,181,195,199,209,155,219,0.000%,2.42720,9.76,2.72
UTG - Browsing Flow:TS03_VIEW_PRODUCT,364,182,181,195,199,209,155,219,0.000%,2.39524,9.63,2.68
UTG - Browsing Flow:04_VIEW_ITEM,357,181,181,194,198,206,154,209,0.000%,2.43964,9.08,2.72
UTG - Browsing Flow:TS04_VIEW_ITEM,357,181,181,194,198,206,154,209,0.000%,2.40673,8.96,2.68
:TS03_VIEW_PRODUCT,5,0,0,0,0,0,0,0,0.000%,.80593,0.00,0.00
:TS04_VIEW_ITEM,6,0,0,0,0,0,0,0,0.000%,.62422,0.00,0.00
:TS02_VIEW_CATEGORY,4,0,0,0,0,0,0,0,0.000%,.59916,0.00,0.00
:TS01_HOME,5,0,0,0,0,0,0,0,0.000%,.73584,0.00,0.00
TOTAL,27577,284,186,676,724,775,0,3785,0.000%,173.48390,651.32,227.72
